769701.146460	85.881543	769615.264917
769701.153165	343.418908	769357.734257
769701.159870	772.290536	768928.869334
769701.166574	1371.961351	768329.205223
769701.173276	2141.684066	767559.489210
769701.179973	3080.500995	766620.678978
769701.186663	4187.246375	765513.940288
769701.193344	5460.549170	764240.644174
769701.200012	6898.836349	762802.363663
769701.206663	8500.336623	761200.870040
769701.213290	10263.084612	759438.128678
769701.219890	12184.925434	757516.294456
769701.226455	14263.519668	755437.706788
769701.232978	16496.348696	753204.884282
769701.239450	18880.720371	750820.519079
769701.245861	21413.774997	748287.470864
769701.252202	24092.491586	745608.760615
769701.258459	26913.694364	742787.564095
769701.264621	29874.059494	739827.205126
769701.270671	32970.121994	736731.148677
769701.276596	36198.282804	733502.993792
769701.282377	39554.815986	730146.466391
769701.287995	43035.876025	726665.411970
769701.293431	46637.505201	723063.788230
769701.298661	50355.640999	719345.657663
769701.303664	54186.123543	715515.180120
769701.308412	58124.703026	711576.605386
769701.312880	62167.047101	707534.265780
769701.317039	66308.748226	703392.568813
769701.320858	70545.330945	699155.989913
769701.324305	74872.259066	694829.065239
769701.327346	79284.942748	690416.384598
769701.329945	83778.745460	685922.584485
769701.332064	88348.990813	681352.341252
769701.333665	92990.969249	676710.364416
769701.334705	97699.944579	672001.390126
769701.335141	102471.160363	667230.174778
769701.334928	107299.846126	662401.488803
769701.334019	112181.223405	657520.110614
769701.332365	117110.511631	652590.820734
769701.329912	122082.933832	647618.396080
769701.326609	127093.722168	642607.604440
769701.322397	132138.123297	637563.199100
769701.317219	137211.403566	632489.913653
769701.311012	142308.854044	627392.456968
769701.303712	147425.795385	622275.508327
769701.295251	152557.582539	617143.712711
769701.285558	157699.609308	612001.676250
769701.274558	162847.312751	606853.961807
769701.262173	167996.177459	601705.084714
769701.248321	173141.739684	596559.508637
769701.232915	178279.591345	591421.641570
769701.215863	183405.383917	586295.831946
769701.197070	188514.832208	581186.364862
769701.176434	193603.718021	576097.458413
769701.153848	198667.893735	571033.260112
769701.129200	203703.285789	565997.843411
769701.102372	208705.898081	560995.204291
769701.073239	213671.815304	556029.257934
769701.041669	218597.206212	551103.835457
769701.007524	223478.326825	546222.680699
769700.970658	228311.523586	541389.447072
769700.930916	233093.236473	536607.694443
769700.888137	237820.002072	531880.886065
769700.842149	242488.456610	527212.385539
769700.792770	247095.338967	522605.453804
769700.739810	251637.493653	518063.246158
769700.683067	256111.873770	513588.809296
769700.622324	260515.543952	509185.078373
769700.557355	264845.683279	504854.874076
769700.487918	269099.588195	500600.899723
769700.413755	273274.675398	496425.738357
769700.334591	277368.484727	492331.849864
769700.250133	281378.682051	488321.568082
769700.160065	285303.062150	484397.097915
769700.064050	289139.551612	480560.512438
769699.961724	292886.211743	476813.749981
769699.852693	296541.241504	473158.611189
769699.736531	300102.980493	469596.756037
769699.612773	303569.911976	466129.700797
769699.480912	306940.665993	462758.814919
769699.340389	310214.022555	459485.317834
769699.190587	313388.914958	456310.275629
769699.030815	316464.433218	453234.597598
769698.860302	319439.827677	450259.032624
769698.678166	322314.512773	447384.165392
769698.483398	325088.070998	444610.412401
769698.274824	327760.257042	441938.017782
769698.051054	330331.002103	439367.048951
769697.810409	332800.418277	436897.392132
769697.550820	335168.802886	434528.747935
769697.269652	337436.642382	432260.627270
