2.612995309194069971e-01,2.732203886439003582e-01,2.723507183257160014e-01,2.728746568665098016e-01,2.678646635350775407e-01,2.662641434652920913e-01,2.619291144090958867e-01,2.644909618470761004e-01,2.620729330328568363e-01,2.638197626619007696e-01,2.620014749322046033e-01,2.617984770119017313e-01,2.580260889801799240e-01,2.531304238526598249e-01,2.484666394772658549e-01,2.491765098813820689e-01,2.491156457223941412e-01,2.490784888797343832e-01,2.518545556385900497e-01,2.622897950237442211e-01,2.630670419652874625e-01,2.561006315816160006e-01
3.047346213511130664e-01,3.178891148718364645e-01,3.191808121544500998e-01,3.156009522222276709e-01,3.132516982538433026e-01,3.119667373674518407e-01,3.090947066783186759e-01,3.047570853342737029e-01,3.081749237438614619e-01,3.129931774533524780e-01,3.092792306179352191e-01,3.079453361506026554e-01,3.058336810977058673e-01,3.007853791457632542e-01,2.914519001426345568e-01,2.943531191452705698e-01,2.963657047024527702e-01,2.978815726271228370e-01,2.975723457033410679e-01,3.066612811497247959e-01,3.099113858104481922e-01,3.006328101323951230e-01
3.451160623892878254e-01,3.590526869935141141e-01,3.578150615187080108e-01,3.549791358434964406e-01,3.578970501221758749e-01,3.561582404463221052e-01,3.522621636633526676e-01,3.445896058419034569e-01,3.490332682167954781e-01,3.559577901375727271e-01,3.566245030664288440e-01,3.540651574193432460e-01,3.477998199120306833e-01,3.405838527514041814e-01,3.330975988586945546e-01,3.390865617422871847e-01,3.386981349296818156e-01,3.407082387723993078e-01,3.416014092743530073e-01,3.444521482378040123e-01,3.499412332441382834e-01,3.394198340251475821e-01
3.835448964247993864e-01,3.941757338509316866e-01,3.948718950102105829e-01,3.934100068663576866e-01,3.978872457691674525e-01,3.958009103146329366e-01,3.902951226594315037e-01,3.850632606144130943e-01,3.894071138975498947e-01,3.935147550858240639e-01,3.967659853809831771e-01,3.935320436234011621e-01,3.863541594628140396e-01,3.795590385098451258e-01,3.749379465077843365e-01,3.782823610410330772e-01,3.795743076878055344e-01,3.798284405272973063e-01,3.837110124072191097e-01,3.808837556727759366e-01,3.864988686962130271e-01,3.785420265693684172e-01
4.216768201674832572e-01,4.271534555153082002e-01,4.300165363319946032e-01,4.312022115846339543e-01,4.338759007408528046e-01,4.321797010552495544e-01,4.283180650886688201e-01,4.237765344815916380e-01,4.276121122585996859e-01,4.281714983358596016e-01,4.345298017067841800e-01,4.321533130908270515e-01,4.223045021636402940e-01,4.188189658584914876e-01,4.156313797304153068e-01,4.153594460564210000e-01,4.185762512219202702e-01,4.171143148068527373e-01,4.212941859709651848e-01,4.166239520042545053e-01,4.200965009769558334e-01,4.169560619575691796e-01
4.601703079020432186e-01,4.614120765803467195e-01,4.631339393437746144e-01,4.673043943862024707e-01,4.679721244528666224e-01,4.684061242929059565e-01,4.644890902476343508e-01,4.609406822257303693e-01,4.641494379197831921e-01,4.639944175774025625e-01,4.711308539985794575e-01,4.693270176001643756e-01,4.594898796419673581e-01,4.565620379464325196e-01,4.529642429736155940e-01,4.511073326599782662e-01,4.558782760366587583e-01,4.540484036001514734e-01,4.555170739720395545e-01,4.523060962311731825e-01,4.538182068244224210e-01,4.560915949187790419e-01
4.981104478681871450e-01,4.972401893015500063e-01,4.986258819010936927e-01,5.035822335179745979e-01,5.011257281306658040e-01,5.036033153778937121e-01,4.992800172340596809e-01,4.947180612034371427e-01,4.988639415670403920e-01,4.981105808737745777e-01,5.062410395926918438e-01,5.045597588384164167e-01,4.948600685636678209e-01,4.918167003757403788e-01,4.874791785167358338e-01,4.857766890881838329e-01,4.917431839662405602e-01,4.899479580528309230e-01,4.906530997215297063e-01,4.895795743656833343e-01,4.893886340248587707e-01,4.969138501426260124e-01
5.367024697237493536e-01,5.332523319526546457e-01,5.339580541360012811e-01,5.379772045111317347e-01,5.347185367634064157e-01,5.377446354466224321e-01,5.327112525603375781e-01,5.271920478914056130e-01,5.324034384199015646e-01,5.321507349148165700e-01,5.392652745665215130e-01,5.377280848635762611e-01,5.294719243939288722e-01,5.260879636223364519e-01,5.197373951595369856e-01,5.196807940094461120e-01,5.261877222010545863e-01,5.253914874719437522e-01,5.258548616788084606e-01,5.266644380525344893e-01,5.258331384017913557e-01,5.381323751059725602e-01
5.766754312815082217e-01,5.691021476211576280e-01,5.689239013785976073e-01,5.714252801672043969e-01,5.690138683814770504e-01,5.707610826228065593e-01,5.656854294446320708e-01,5.576328487078274776e-01,5.647818065725911385e-01,5.652859510113142916e-01,5.711272151859737578e-01,5.700885014651344562e-01,5.624805166867916650e-01,5.591131217422539157e-01,5.518093204460896573e-01,5.533329978937624460e-01,5.608965823067418865e-01,5.612403484621397709e-01,5.611617710041834073e-01,5.626646604957992182e-01,5.623750873552630924e-01,5.792436698831912034e-01
6.159754590601601576e-01,6.055766755377902655e-01,6.044335399809489529e-01,6.053114049953743914e-01,6.030058557084694293e-01,6.038675477583367313e-01,5.985861992595361558e-01,5.884091193468696801e-01,5.954808909959740104e-01,5.970566800807756147e-01,6.016005616368068631e-01,6.007581289104459987e-01,5.946898873499064653e-01,5.909085291085330871e-01,5.839622213427410058e-01,5.873230060844217837e-01,5.959259985734418619e-01,5.955365618526657912e-01,5.963285692746521649e-01,5.985326686581793343e-01,5.990179778974379365e-01,6.190954882170144336e-01
